"","Name","Area","Zone"
"1","Admiralty Primary School","WOODLANDS","North"
"2","Ahmad Ibrahim Primary School","YISHUN","North"
"3","Ai Tong School","BISHAN","South"
"4","Alexandra Primary School","BUKIT MERAH","South"
"5","Anchor Green Primary School","SENGKANG","North"
"6","Anderson Primary School","ANG MO KIO","North"
"7","Anglo-Chinese School (Junior)","CENTRAL","South"
"8","Anglo-Chinese School (Primary)","NOVENA","South"
"9","Angsana Primary School","TAMPINES","East"
"10","Ang Mo Kio Primary School","ANG MO KIO","South"
"11","Balestier Hill Primary School","NOVENA","South"
"12","Beacon Primary School","BUKIT PANJANG","West"
"13","Bedok Green Primary School","BEDOK","East"
"14","Bendemeer Primary School","KALLANG","South"
"15","Blangah Rise Primary School","BUKIT MERAH","South"
"16","Boon Lay Garden Primary School","JURONG WEST","West"
"17","Bukit Panjang Primary School","BUKIT PANJANG","West"
"18","Bukit Timah Primary School","BUKIT TIMAH","West"
"19","Bukit View Primary School","BUKIT BATOK","West"
"20","Canberra Primary School","SEMBAWANG","North"
"21","Canossa Convent Primary School","GEYLANG","East"
"22","Cantonment Primary School","BUKIT MERAH","South"
"23","Casuarina Primary School","PASIR RIS","East"
"24","Catholic High School (Primary)","BISHAN","South"
"25","Cedar Primary School","TOA PAYOH","South"
"26","Changkat Primary School","TAMPINES","East"
"27","CHIJ (Katong) Primary","BEDOK","East"
"28","CHIJ (Kellock)","BUKIT MERAH","South"
"29","CHIJ Our Lady of Good Counsel","SERANGOON","South"
"30","CHIJ Our Lady of the Nativity","HOUGANG","South"
"31","CHIJ Our Lady Queen of Peace","BUKIT PANJANG","West"
"32","CHIJ Primary (Toa Payoh)","TOA PAYOH","South"
"33","CHIJ St. Nicholas Girls' School","ANG MO KIO","South"
"34","Chongfu School","YISHUN","North"
"35","Chongzheng Primary School","TAMPINES","East"
"36","Chua Chu Kang Primary School","CHUA CHU KANG","West"
"37","Clementi Primary School","CLEMENTI","West"
"38","Compassvale Primary School","SENGKANG","North"
"39","Concord Primary School","CHUA CHU KANG","West"
"40","Coral Primary School","PASIR RIS","East"
"41","Corporation Primary School","JURONG WEST","West"
